Record ID,Timestamp,Solar Radiation Sensor
9553885,2024-01-06 01:43:07,0
9553886,2024-01-06 01:43:42,0
9553888,2024-01-06 01:44:43,0
9553890,2024-01-06 01:45:43,0
9553892,2024-01-06 01:46:08,0
9553894,2024-01-06 01:46:43,0
9553897,2024-01-06 01:47:08,0
9553898,2024-01-06 01:47:43,0
9553901,2024-01-06 01:48:08,0
9553903,2024-01-06 01:48:43,0
9553904,2024-01-06 01:49:43,0
9553906,2024-01-06 01:50:43,0
9553907,2024-01-06 01:51:08,0
9553909,2024-01-06 01:51:43,0
9553911,2024-01-06 01:52:43,0
9553912,2024-01-06 01:53:43,0
9553913,2024-01-06 01:54:23,0
9553914,2024-01-06 01:54:48,0
9553917,2024-01-06 01:55:08,0
9553918,2024-01-06 01:55:53,0
9553921,2024-01-06 01:56:43,0
9553923,2024-01-06 01:57:08,0
9553926,2024-01-06 01:57:43,0
9553927,2024-01-06 01:58:43,0
9553930,2024-01-06 01:59:43,0
9553931,2024-01-06 02:00:13,0
9553933,2024-01-06 02:01:03,0
9553934,2024-01-06 02:01:18,0
9553937,2024-01-06 02:02:23,0
9553940,2024-01-06 02:02:58,0
9553942,2024-01-06 02:03:43,0
9553944,2024-01-06 02:04:08,0
9553946,2024-01-06 02:05:08,0
9553949,2024-01-06 02:06:08,0
9553954,2024-01-06 02:08:38,0
9553955,2024-01-06 02:09:18,0
9553960,2024-01-06 02:11:38,0
9553963,2024-01-06 02:12:18,0
9553965,2024-01-06 02:13:08,0
9553968,2024-01-06 02:14:13,0
9553970,2024-01-06 02:15:03,0
9553975,2024-01-06 02:16:13,0
9553978,2024-01-06 02:17:28,0
9553979,2024-01-06 02:17:53,0
9553982,2024-01-06 02:19:03,0
9553981,2024-01-06 02:20:03,0
9553985,2024-01-06 02:20:13,0
9553988,2024-01-06 02:21:23,0
9553989,2024-01-06 02:21:43,0
9553992,2024-01-06 02:22:58,0
9553995,2024-01-06 02:23:48,0
9553998,2024-01-06 02:24:58,0
9554001,2024-01-06 02:25:13,0
9554002,2024-01-06 02:25:48,0
9554004,2024-01-06 02:26:43,0
9554007,2024-01-06 02:27:08,0
9554009,2024-01-06 02:27:43,0
9554012,2024-01-06 02:28:13,0
9554015,2024-01-06 02:28:48,0
9554017,2024-01-06 02:29:13,0
9554019,2024-01-06 02:29:48,0
9554022,2024-01-06 02:30:13,0
9554024,2024-01-06 02:30:43,0
9554026,2024-01-06 02:31:08,0
9554029,2024-01-06 02:31:48,0
9554030,2024-01-06 02:32:08,0
9554032,2024-01-06 02:32:48,0
9554034,2024-01-06 02:33:48,0
9554037,2024-01-06 02:34:48,0
9554040,2024-01-06 02:35:48,0
9554043,2024-01-06 02:36:13,0
9554046,2024-01-06 02:36:48,0
9554047,2024-01-06 02:37:08,0
9554048,2024-01-06 02:37:43,0
9554050,2024-01-06 02:38:43,0
9554052,2024-01-06 02:39:43,0
9554054,2024-01-06 02:40:43,0
9554055,2024-01-06 02:41:13,0
9554057,2024-01-06 02:41:43,0
9554058,2024-01-06 02:42:48,0
9554059,2024-01-06 02:43:43,0
9554060,2024-01-06 02:44:43,0
9554061,2024-01-06 02:45:43,0
9554064,2024-01-06 02:46:49,0
9554065,2024-01-06 02:47:49,0
9554068,2024-01-06 02:48:09,0
9554069,2024-01-06 02:48:44,0
9554070,2024-01-06 02:49:44,0
9554073,2024-01-06 02:50:44,0
9554076,2024-01-06 02:51:14,0
9554079,2024-01-06 02:51:44,0
9554081,2024-01-06 02:52:44,0
9554083,2024-01-06 02:53:09,0
9554084,2024-01-06 02:53:49,0
9554086,2024-01-06 02:54:09,0
9554088,2024-01-06 02:54:44,0
9554090,2024-01-06 02:55:09,0
9554092,2024-01-06 02:55:44,0
9554093,2024-01-06 02:56:44,0
9554095,2024-01-06 02:57:14,0
9554098,2024-01-06 02:57:49,0
9554100,2024-01-06 02:58:44,0
9554103,2024-01-06 02:59:09,0
9554106,2024-01-06 03:00:59,0
9554111,2024-01-06 03:02:04,0
9554112,2024-01-06 03:02:59,0
9554115,2024-01-06 03:03:29,0
9554118,2024-01-06 03:03:54,0
9554120,2024-01-06 03:05:19,0
9554121,2024-01-06 03:05:59,0
9554124,2024-01-06 03:06:24,0
9554126,2024-01-06 03:07:09,0
9554129,2024-01-06 03:07:44,0
9554131,2024-01-06 03:08:14,0
9554132,2024-01-06 03:08:44,0
9554134,2024-01-06 03:09:09,0
9554136,2024-01-06 03:09:44,0
9554139,2024-01-06 03:10:44,0
9554142,2024-01-06 03:11:14,0
9554144,2024-01-06 03:11:44,0
9554145,2024-01-06 03:12:44,0
9554146,2024-01-06 03:13:09,0
9554149,2024-01-06 03:13:49,0
9554152,2024-01-06 03:14:44,0
9554155,2024-01-06 03:15:44,0
9554158,2024-01-06 03:16:09,0
9554161,2024-01-06 03:16:44,0
9554162,2024-01-06 03:17:09,0
9554163,2024-01-06 03:17:44,0
9554164,2024-01-06 03:18:09,0
9554167,2024-01-06 03:18:44,0
9554170,2024-01-06 03:19:09,0
9554173,2024-01-06 03:19:44,0
9554176,2024-01-06 03:20:09,0
9554179,2024-01-06 03:20:44,0
9554180,2024-01-06 03:21:44,0
9554182,2024-01-06 03:22:09,0
9554183,2024-01-06 03:22:44,0
9554186,2024-01-06 03:23:44,0
9554188,2024-01-06 03:24:44,0
9554189,2024-01-06 03:25:14,0
9554190,2024-01-06 03:25:54,0
9554192,2024-01-06 03:26:44,0
9554195,2024-01-06 03:27:09,0
9554196,2024-01-06 03:27:44,0
9554198,2024-01-06 03:28:44,0
9554199,2024-01-06 03:29:09,0
9554201,2024-01-06 03:29:44,0
9554204,2024-01-06 03:30:09,0
9554206,2024-01-06 03:30:44,0
9554208,2024-01-06 03:31:44,0
9554211,2024-01-06 03:32:09,0
9554212,2024-01-06 03:32:44,0
9554213,2024-01-06 03:33:44,0
9554214,2024-01-06 03:34:44,0
9554215,2024-01-06 03:35:14,0
9554216,2024-01-06 03:35:44,0
9554217,2024-01-06 03:36:09,0
9554218,2024-01-06 03:36:44,0
9554221,2024-01-06 03:37:09,0
9554223,2024-01-06 03:37:44,0
9554225,2024-01-06 03:38:44,0
9554227,2024-01-06 03:39:09,0
9554229,2024-01-06 03:39:44,0
9554230,2024-01-06 03:40:44,0
9554232,2024-01-06 03:41:45,0
9554234,2024-01-06 03:42:45,0
9554237,2024-01-06 03:43:10,0
9554240,2024-01-06 03:43:45,0
9554242,2024-01-06 03:44:45,0
9554245,2024-01-06 03:45:45,0
9554247,2024-01-06 03:46:45,0
9554250,2024-01-06 03:47:45,0
9554252,2024-01-06 03:48:45,0
9554253,2024-01-06 03:49:45,0
9554254,2024-01-06 03:49:55,0
9554256,2024-01-06 03:50:45,0
9554257,2024-01-06 03:51:45,0
9554258,2024-01-06 03:52:10,0
9554259,2024-01-06 03:52:45,0
9554262,2024-01-06 03:53:45,0
9554263,2024-01-06 03:54:45,0
9554266,2024-01-06 03:55:45,0
9554267,2024-01-06 03:56:10,0
9554270,2024-01-06 03:56:45,0
9554271,2024-01-06 03:57:45,0
9554273,2024-01-06 03:58:45,0
9554276,2024-01-06 03:59:45,0
9554277,2024-01-06 04:00:10,0
